惟命是从	→唯命是从〔草案〕
惟其	→唯其〔草案〕
惟我独尊	→唯我独尊〔草案〕
惟一	→唯一〔草案〕
惟有	→唯有〔草案〕
萎顿	→委顿〔草案〕
委宛	→委婉〔草案〕
委罪	→诿罪〔草案〕
委靡	→萎靡〔草案〕
委谢	→萎谢〔草案〕
文彩	→文采〔草案〕
无精打彩	→无精打采〔草案〕
无尚	→无上〔草案〕
欷歔	→唏嘘〔草案〕
喜孜孜	→喜滋滋〔草案〕
陷井	→陷阱〔草案〕
项练	→项链〔草案〕
销歇	→消歇〔草案〕
消魂	→销魂〔草案〕
兴高彩烈	→兴高采烈〔草案〕
雄纠纠	→雄赳赳〔草案〕
旋涡	→漩涡〔草案〕
薰陶	→熏陶〔草案〕
丫鬟	→丫环〔草案〕
压宝	→押宝〔草案〕
哑吧	→哑巴〔草案〕
哑叭	→哑巴〔草案〕
言不由中	→言不由衷〔草案〕
要功	→邀功〔草案〕
一倡百和	→一唱百和〔草案〕
一蹋糊涂	→一塌糊涂〔草案〕
一榻糊涂	→一塌糊涂〔草案〕
一相情愿	→一厢情愿〔草案〕
引伸	→引申〔草案〕
硬梆梆	→硬邦邦〔草案〕
硬帮帮	→硬邦邦〔草案〕
渔汛	→鱼汛〔草案〕
鱼鼓	→渔鼓〔草案〕
约莫	→约摸〔草案〕
殒落	→陨落〔草案〕
在坐	→在座〔草案〕
糟踏	→糟蹋〔草案〕
糟塌	→糟蹋〔草案〕
张惶	→张皇〔草案〕
照像	→照相〔草案〕
珍羞	→珍馐〔草案〕
真象	→真相〔草案〕
枝梧	→支吾〔草案〕
枝捂	→支吾〔草案〕
装聋做哑	→装聋作哑〔草案〕
妆束	→装束〔草案〕
装做	→装作〔草案〕
子畜	→仔畜〔草案〕
子猪	→仔猪〔草案〕
子粒	→籽粒〔草案〕
子棉	→籽棉〔草案〕
子实	→籽实〔草案〕
走露	→走漏〔草案〕
做弊	→作弊〔草案〕
做美	→作美〔草案〕
做弄	→作弄〔草案〕
做声	→作声〔草案〕
做秀	→作秀〔草案〕
座落	→坐落〔草案〕
坐次	→座次〔草案〕
坐位	→座位〔草案〕
